client_id,number_contacts,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
122,2,164,0,0,0,2022-05-16
123,4,81,0,0,0,2022-05-03
124,3,89,0,0,0,2022-05-10
125,2,278,0,0,0,2022-05-21
126,2,214,0,0,0,2022-05-03
127,2,116,0,0,0,2022-05-06
128,3,16,0,0,0,2022-05-17
129,2,546,0,0,1,2022-05-10
130,8,8,0,0,0,2022-05-17
131,2,167,1,0,0,2022-05-01
132,3,72,1,0,0,2022-05-29
133,5,75,0,0,0,2022-05-15
134,6,14,0,0,0,2022-05-25
135,2,200,1,0,0,2022-05-31
136,5,13,0,0,0,2022-05-11
137,6,312,0,0,0,2022-05-02
138,2,134,1,0,0,2022-05-11
139,12,34,0,0,0,2022-05-28
140,8,15,0,0,0,2022-05-14
141,4,188,1,0,0,2022-05-22
142,2,788,0,0,0,2022-05-18
143,2,103,1,0,0,2022-05-21
144,2,106,0,0,0,2022-05-05
145,6,25,0,0,0,2022-05-04
146,3,52,0,0,0,2022-05-13
147,3,41,1,0,0,2022-05-04
148,2,234,1,0,0,2022-05-15
149,2,255,0,0,0,2022-05-14
150,4,200,1,0,0,2022-05-11
151,3,217,0,0,0,2022-05-28
152,9,9,0,0,0,2022-05-22
153,2,315,1,0,0,2022-05-03
154,7,128,0,0,0,2022-05-24
155,6,10,0,0,0,2022-05-24
156,2,352,1,0,0,2022-05-10
157,3,97,1,0,0,2022-05-08
158,2,54,1,0,0,2022-05-23
159,12,7,0,0,0,2022-05-02
160,3,63,1,0,0,2022-05-07
161,4,77,1,0,0,2022-05-04
162,6,117,0,0,0,2022-05-15
163,2,34,1,0,0,2022-05-04
164,3,104,1,0,0,2022-05-06
165,7,15,0,0,0,2022-05-22
166,5,14,1,0,0,2022-05-10
167,6,208,0,0,0,2022-05-18
168,6,11,0,0,0,2022-05-12
169,3,160,0,0,0,2022-05-27
170,2,197,1,0,0,2022-05-09
171,2,151,1,0,0,2022-05-28
172,2,131,0,0,0,2022-05-07
173,3,731,1,0,1,2022-05-10
174,3,756,0,0,0,2022-05-15
175,6,12,1,0,0,2022-05-27
176,6,114,0,0,0,2022-05-20
177,8,12,0,0,0,2022-05-15
178,2,365,0,0,1,2022-05-28
179,3,304,0,0,0,2022-05-21
180,6,11,0,0,0,2022-05-10
181,8,20,1,0,0,2022-05-25
182,3,109,0,0,0,2022-05-09
183,3,138,0,0,0,2022-05-07
184,5,6,0,0,0,2022-05-19
185,1,63,0,0,0,2022-05-09
186,1,200,1,0,0,2022-05-29
187,1,271,0,0,0,2022-05-27
188,1,42,0,0,0,2022-05-06
189,1,341,0,0,0,2022-05-25
190,4,100,0,0,0,2022-05-07
191,4,40,0,0,0,2022-05-09
192,1,114,0,0,0,2022-05-16
193,4,150,0,0,0,2022-05-07
194,1,431,0,0,0,2022-05-20
195,1,11,0,0,0,2022-05-23
196,1,91,0,0,0,2022-05-05
197,1,52,0,0,0,2022-05-05
198,1,257,0,0,0,2022-05-16
199,1,99,1,0,0,2022-05-16
200,1,49,0,0,0,2022-05-11
201,1,882,0,0,1,2022-05-30
202,5,7,0,0,0,2022-05-30
203,1,515,1,0,1,2022-05-29
204,1,158,1,0,0,2022-05-28
205,1,259,0,0,0,2022-05-22
206,1,206,1,0,0,2022-05-26
207,1,25,1,0,0,2022-05-24
208,1,300,1,0,0,2022-05-31
209,2,246,0,0,0,2022-05-29
210,1,178,0,0,0,2022-05-09
211,1,318,0,0,0,2022-05-06
212,1,201,0,0,0,2022-05-07
213,1,105,0,0,0,2022-05-12
214,1,214,0,0,0,2022-05-22
215,1,67,0,0,0,2022-05-07
216,4,85,1,0,0,2022-05-22
217,4,82,0,0,0,2022-05-26
218,2,142,0,0,0,2022-05-28
219,1,187,0,0,0,2022-05-21
220,1,69,1,0,0,2022-05-27
221,1,580,0,0,1,2022-05-26
222,1,62,1,0,0,2022-05-07
223,1,1203,1,0,1,2022-05-25
224,1,58,0,0,0,2022-05-18
225,4,64,1,0,0,2022-05-21
226,1,631,1,1,0,2022-05-18
227,1,658,1,0,1,2022-05-18
228,1,942,0,0,0,2022-05-03
229,1,207,1,0,0,2022-05-13
230,5,104,0,0,0,2022-05-15
231,1,377,1,0,0,2022-05-21
232,1,66,0,0,0,2022-05-20
233,1,128,1,0,0,2022-05-14
234,5,291,0,0,0,2022-05-19
235,1,115,0,0,0,2022-05-02
236,3,524,0,0,0,2022-05-17
237,1,358,0,0,0,2022-05-19
238,1,366,1,1,0,2022-05-30
239,1,23,0,0,0,2022-05-07
240,1,560,0,0,1,2022-05-26
241,1,52,0,0,0,2022-05-16
242,1,347,0,0,0,2022-05-19
243,1,107,0,0,0,2022-05-17
244,1,48,0,0,0,2022-05-17
245,1,145,0,0,0,2022-05-01
246,1,74,0,0,0,2022-05-17
247,2,451,1,0,0,2022-05-15
248,2,53,0,0,0,2022-05-02
249,1,612,0,0,1,2022-05-28
250,1,305,1,0,0,2022-05-11
251,3,104,1,0,0,2022-05-10
252,2,176,1,0,0,2022-05-01
253,1,507,0,0,0,2022-05-09
254,1,103,1,0,0,2022-05-16
255,1,242,0,0,0,2022-05-01
256,1,137,0,0,0,2022-05-04
257,1,223,1,0,0,2022-05-22
258,1,124,1,0,0,2022-05-30
259,5,63,0,0,0,2022-05-29
260,1,137,0,0,0,2022-05-08
261,6,23,1,0,0,2022-05-18
262,4,22,0,0,0,2022-05-24
263,3,59,0,0,0,2022-05-24
264,4,703,0,0,1,2022-05-06
265,3,179,0,0,0,2022-05-06
266,1,690,0,0,1,2022-05-18
267,1,85,0,0,0,2022-05-25
268,6,25,0,0,0,2022-05-27
269,12,11,0,0,0,2022-05-28
270,1,1272,0,0,1,2022-05-09
271,3,69,1,0,0,2022-05-01
272,1,256,0,0,0,2022-05-16
273,5,300,0,0,0,2022-05-13
274,1,256,0,0,0,2022-05-24
275,5,7,0,0,0,2022-05-06
276,1,43,1,0,0,2022-05-05
277,3,244,0,0,0,2022-05-10
278,3,1062,0,0,1,2022-05-08
279,8,22,0,0,0,2022-05-12
280,2,429,0,0,0,2022-05-19
281,1,494,0,0,0,2022-05-14
282,1,296,0,0,0,2022-05-05
283,1,92,0,0,0,2022-05-08
284,7,17,0,0,0,2022-05-01
285,1,826,0,0,1,2022-05-22
286,1,243,1,0,0,2022-05-17
287,4,184,0,0,0,2022-05-20
288,1,245,1,0,0,2022-05-28
289,1,198,0,0,0,2022-05-23
290,1,360,0,0,0,2022-05-27
291,4,139,0,0,0,2022-05-30
292,1,54,0,0,0,2022-05-02
293,1,232,0,0,0,2022-05-04
294,1,517,1,0,0,2022-05-19
295,1,418,0,0,0,2022-05-07
296,1,153,0,0,0,2022-05-27
297,2,116,0,0,0,2022-05-21
298,5,168,1,0,0,2022-05-11
299,1,261,1,1,0,2022-05-25
300,3,69,0,0,0,2022-05-08
301,1,212,0,0,0,2022-05-06
302,1,121,0,0,0,2022-05-03
303,1,23,1,0,0,2022-05-26
304,1,306,0,0,0,2022-05-26
305,2,202,0,0,0,2022-05-22
306,1,342,1,0,0,2022-05-01
307,1,22,0,0,0,2022-05-01
308,1,455,0,0,0,2022-05-06
309,1,245,0,0,0,2022-05-18
310,3,33,0,0,0,2022-05-02
311,3,58,1,0,0,2022-05-28
312,1,41,0,0,0,2022-05-25
313,1,360,0,0,0,2022-05-29
314,1,179,0,0,0,2022-05-06
315,1,174,0,0,0,2022-05-23
316,1,43,0,0,0,2022-05-04
317,1,68,1,0,0,2022-05-21
318,1,212,1,0,0,2022-05-06
319,6,38,0,0,0,2022-05-14
320,3,639,1,0,0,2022-05-09
321,1,483,1,0,0,2022-05-12
322,2,205,1,0,0,2022-05-27
323,1,344,0,0,0,2022-05-22
324,1,141,0,0,0,2022-05-08
325,1,113,0,0,0,2022-05-27
326,2,87,0,0,0,2022-05-21
327,1,238,1,0,0,2022-05-13
328,6,27,1,0,0,2022-05-17
329,2,155,0,0,0,2022-05-24
330,1,337,1,0,0,2022-05-02
331,1,24,0,0,0,2022-05-22
332,2,365,0,0,0,2022-05-23
333,1,37,0,0,0,2022-05-25
334,4,25,0,0,0,2022-05-20
335,1,109,0,0,0,2022-05-09
336,3,152,1,0,0,2022-05-02
337,5,179,0,0,0,2022-05-11
338,1,118,0,0,0,2022-05-22
339,5,272,1,0,0,2022-05-27
340,7,30,0,0,0,2022-05-01
341,1,79,1,0,0,2022-05-12
342,1,324,0,0,0,2022-05-27
343,1,426,1,0,1,2022-05-15
344,2,196,1,0,0,2022-05-25
345,1,151,0,0,0,2022-05-08
346,1,366,0,0,0,2022-05-12
347,1,211,1,0,0,2022-05-08
348,1,43,1,0,0,2022-05-04
349,1,816,1,0,0,2022-05-16
350,1,189,0,0,0,2022-05-13
351,1,590,0,0,1,2022-05-29
352,6,315,0,0,0,2022-05-03
353,1,131,0,0,0,2022-05-03
354,5,78,1,0,0,2022-05-20
355,3,97,0,0,0,2022-05-11
356,1,337,0,0,0,2022-05-10
357,2,185,0,0,0,2022-05-30
358,5,78,0,0,0,2022-05-26
359,2,55,2,0,0,2022-05-30
360,1,442,0,0,0,2022-05-25
361,3,36,1,0,0,2022-05-10
362,3,74,0,0,0,2022-05-15
363,2,326,0,0,0,2022-05-03
364,5,81,0,0,0,2022-05-11
365,4,179,0,0,0,2022-05-25
366,2,527,0,0,0,2022-05-29
367,1,918,0,0,1,2022-05-05
368,2,225,0,0,0,2022-05-17
369,10,787,1,0,1,2022-05-05
370,1,15,0,0,0,2022-05-12
371,1,279,1,0,0,2022-05-16
372,4,416,0,0,0,2022-05-20
373,1,83,1,0,0,2022-05-02
374,1,25,0,0,0,2022-05-01
375,3,542,1,0,0,2022-05-12
376,1,256,1,0,0,2022-05-25
377,1,189,1,0,0,2022-05-06
378,1,251,0,0,0,2022-05-15
379,1,116,0,0,0,2022-05-13
380,2,1100,0,0,0,2022-05-02
381,4,451,1,1,0,2022-05-31
382,1,184,0,0,0,2022-05-10
383,3,232,0,0,0,2022-05-19
384,1,209,0,0,0,2022-05-30
385,5,16,0,0,0,2022-05-13
386,2,340,1,0,0,2022-05-11
387,1,313,0,0,0,2022-05-08
388,1,191,1,0,0,2022-05-20
389,5,7,0,0,0,2022-05-28
390,10,493,0,0,0,2022-05-12
391,1,1182,1,0,1,2022-05-11
392,1,216,1,0,0,2022-05-23
393,3,184,0,0,0,2022-05-15
394,2,360,0,0,0,2022-05-26
395,1,165,0,0,0,2022-05-14
396,1,161,0,0,0,2022-05-10
397,3,84,0,0,0,2022-05-09
398,2,61,1,0,0,2022-05-29
399,1,267,0,0,0,2022-05-17
400,1,351,0,0,0,2022-05-17
401,5,183,0,0,0,2022-05-13
402,1,516,1,0,0,2022-05-01
403,1,393,0,0,0,2022-05-27
404,1,286,0,0,0,2022-05-14
405,4,87,1,0,0,2022-05-26
406,1,277,0,0,0,2022-05-12
407,3,200,0,0,0,2022-05-12
408,1,725,0,0,1,2022-05-10
409,1,204,1,0,0,2022-05-09
410,1,175,1,0,0,2022-05-18
411,1,247,0,0,0,2022-05-08
412,1,136,0,0,0,2022-05-19
413,1,218,0,0,0,2022-05-14
414,1,59,0,0,0,2022-05-12
415,3,146,1,0,0,2022-05-06
416,1,77,1,0,0,2022-05-03
417,1,245,0,0,0,2022-05-27
418,1,482,0,0,0,2022-05-16
419,1,56,0,0,0,2022-05-17
420,1,354,0,0,0,2022-05-10
421,1,396,1,0,0,2022-05-19
422,2,136,0,0,0,2022-05-09
423,1,549,1,0,0,2022-05-05
424,1,17,0,0,0,2022-05-03
425,1,439,0,0,0,2022-05-06
426,3,107,1,0,0,2022-05-30
427,1,369,0,0,0,2022-05-22
428,1,356,0,0,0,2022-05-11
429,4,561,1,0,0,2022-05-19
430,1,175,0,0,0,2022-05-25
431,1,309,1,1,1,2022-05-19
432,3,139,1,0,0,2022-05-19
433,2,148,0,0,0,2022-05-28
434,2,139,1,0,0,2022-05-12
435,1,549,1,1,1,2022-05-27
436,2,395,0,0,0,2022-05-12
437,1,145,1,0,0,2022-05-12
438,1,119,1,0,0,2022-05-10
439,2,88,1,1,0,2022-05-01
440,1,463,0,0,0,2022-05-22
441,2,232,0,0,0,2022-05-04
442,1,57,1,0,0,2022-05-21
443,3,300,0,0,0,2022-05-09
444,5,83,0,0,0,2022-05-20
445,2,200,0,0,0,2022-05-18
446,1,225,0,0,0,2022-05-04
447,1,844,0,0,1,2022-05-12
448,2,293,0,0,0,2022-05-05
449,2,262,0,0,0,2022-05-23
450,2,137,0,0,0,2022-05-23
451,1,130,0,0,0,2022-05-15
452,3,387,0,0,0,2022-05-23
453,2,211,1,0,0,2022-05-14
454,1,246,0,0,0,2022-05-24
455,1,357,2,0,0,2022-05-05
456,1,322,1,0,0,2022-05-12
457,2,584,0,0,0,2022-05-09
458,1,240,0,0,0,2022-05-01
459,2,374,1,0,0,2022-05-20
460,1,215,0,0,0,2022-05-05
461,8,22,0,0,0,2022-05-20
462,4,207,0,0,0,2022-05-16
463,6,183,0,0,0,2022-05-02
464,1,100,1,0,0,2022-05-23
465,2,955,0,0,1,2022-05-13
466,1,146,1,0,0,2022-05-21
467,4,31,0,0,0,2022-05-15
468,1,334,1,0,0,2022-05-28
469,1,271,1,0,0,2022-05-07
470,4,223,1,0,0,2022-05-18
471,4,95,1,0,0,2022-05-06
472,4,106,0,0,0,2022-05-15
473,1,36,0,0,0,2022-05-01
474,1,458,0,0,1,2022-05-09
475,3,53,0,0,0,2022-05-01
476,1,148,0,0,0,2022-05-28
477,1,179,1,0,0,2022-05-21
478,1,223,0,0,0,2022-05-08
479,2,165,1,0,0,2022-05-24
480,1,127,1,1,0,2022-05-27
481,1,158,0,0,0,2022-05-14
482,1,409,0,0,1,2022-05-10
483,1,165,1,0,0,2022-05-06
484,2,88,0,0,0,2022-05-11
485,1,536,1,0,0,2022-05-06
486,1,380,0,0,0,2022-05-28
487,1,1531,0,0,1,2022-05-15
488,2,107,1,0,0,2022-05-13
489,3,132,0,0,0,2022-05-14
490,1,406,0,0,0,2022-05-29
491,1,240,1,0,0,2022-05-09
492,1,278,0,0,0,2022-05-15
493,1,908,0,0,0,2022-05-20
494,3,706,0,0,0,2022-05-28
495,2,215,0,0,0,2022-05-20
496,5,161,1,0,0,2022-05-25
497,2,370,0,0,0,2022-05-29
498,5,157,0,0,0,2022-05-05
499,2,209,0,0,0,2022-05-13
500,4,399,0,0,0,2022-05-04
501,1,1925,0,0,0,2022-05-28
502,7,829,0,0,1,2022-05-02
503,2,328,0,0,0,2022-05-27
504,2,109,0,0,0,2022-05-01
505,3,178,1,0,0,2022-05-05
506,2,242,0,0,0,2022-05-14
507,2,450,0,0,0,2022-05-05
508,2,485,0,0,0,2022-05-13
509,2,76,1,0,0,2022-05-05
510,2,328,0,0,0,2022-05-20
511,2,289,0,0,0,2022-05-27
512,2,163,1,0,0,2022-05-11
513,2,118,1,0,0,2022-05-07
514,9,53,0,0,0,2022-05-15
515,2,453,0,0,0,2022-05-18
516,2,324,0,0,0,2022-05-23
517,3,637,0,0,1,2022-05-05
518,3,301,1,1,0,2022-05-29
519,2,139,0,0,0,2022-05-01
520,2,118,1,0,0,2022-05-31
521,1,32,0,0,0,2022-05-01
522,2,278,1,0,0,2022-05-09
523,2,112,0,0,0,2022-05-12
524,4,34,0,0,0,2022-05-11
525,1,80,1,0,0,2022-05-12
526,1,609,0,0,1,2022-05-22
527,2,276,1,0,0,2022-05-10
528,2,548,0,0,1,2022-05-06
529,1,291,0,0,0,2022-05-14
530,2,1710,0,0,1,2022-05-24
531,1,217,1,0,0,2022-05-21
532,3,192,0,0,0,2022-05-15
533,6,208,1,0,0,2022-05-27
534,1,415,1,0,0,2022-05-22
535,2,278,0,0,0,2022-05-01
536,3,326,1,0,0,2022-05-02
537,2,173,1,0,0,2022-05-31
538,2,306,1,0,0,2022-05-20
539,5,350,1,0,0,2022-05-02
540,3,614,0,0,1,2022-05-14
541,2,224,1,0,0,2022-05-25
542,4,668,0,0,0,2022-05-16
543,6,748,1,0,0,2022-05-24
544,2,474,1,0,0,2022-05-27
545,4,143,0,0,0,2022-05-08
546,4,168,0,0,0,2022-05-14
547,2,317,0,0,0,2022-05-11
548,3,106,0,0,0,2022-05-17
549,6,234,1,0,0,2022-05-17
550,2,314,0,0,0,2022-05-07
551,4,897,0,0,1,2022-05-19
552,6,398,0,0,1,2022-05-20
553,2,422,0,0,0,2022-05-23
554,3,130,0,0,0,2022-05-06
555,4,61,0,0,0,2022-05-16
556,4,863,2,1,1,2022-05-12
557,2,255,1,0,0,2022-05-07
558,3,259,0,0,0,2022-05-11
559,2,29,1,0,0,2022-05-28
560,2,750,0,0,1,2022-05-28
561,2,306,0,0,0,2022-05-25
562,2,266,1,0,0,2022-05-20
563,4,314,0,0,0,2022-05-04
564,3,775,0,0,1,2022-05-08
565,2,181,1,0,0,2022-05-22
566,4,178,0,0,0,2022-05-31
567,4,254,1,0,0,2022-05-17
568,7,351,1,0,0,2022-05-11
569,3,373,0,0,0,2022-05-07
570,2,180,0,0,0,2022-05-03
571,4,135,0,0,0,2022-05-27
572,2,216,0,0,0,2022-05-09
573,2,86,0,0,0,2022-05-29
574,2,85,1,0,0,2022-05-10
575,2,325,0,0,0,2022-05-02
576,4,187,0,0,0,2022-05-21
577,3,463,0,0,0,2022-05-02
578,2,142,1,0,0,2022-05-24
579,2,280,1,0,0,2022-05-31
580,2,398,0,0,0,2022-05-05
581,5,149,1,0,0,2022-05-05
582,3,191,0,0,0,2022-05-01
583,2,193,0,0,0,2022-05-21
584,2,302,0,0,0,2022-05-22
585,2,317,0,0,0,2022-05-01
586,5,211,0,0,0,2022-05-10
587,2,101,0,0,0,2022-05-27
588,2,172,0,0,0,2022-05-06
589,3,464,0,0,0,2022-05-14
590,6,343,1,0,0,2022-05-26
591,5,98,0,0,0,2022-05-02
592,2,198,0,0,0,2022-05-07
593,2,361,0,0,0,2022-05-05
594,2,345,0,0,0,2022-05-08
595,5,114,0,0,0,2022-05-26
596,2,210,0,0,0,2022-05-03
597,2,556,1,1,1,2022-05-08
598,10,68,1,0,0,2022-05-08
599,4,239,0,0,0,2022-05-07
600,2,349,1,0,0,2022-05-07
601,4,112,0,0,0,2022-05-28
602,4,34,0,0,0,2022-05-25
603,4,181,1,0,0,2022-05-07
604,3,178,1,0,0,2022-05-02
605,2,206,1,0,0,2022-05-01
606,4,194,0,0,0,2022-05-21
607,2,209,0,0,0,2022-05-21
608,4,692,1,0,0,2022-05-05
609,3,210,0,0,0,2022-05-17
610,6,206,1,0,0,2022-05-06
611,5,355,1,0,0,2022-05-01
612,4,339,1,0,0,2022-05-04
613,3,737,0,0,1,2022-05-01
614,3,191,0,0,0,2022-05-13
615,2,175,1,0,0,2022-05-15
616,5,286,0,0,0,2022-05-03
617,5,93,0,0,0,2022-05-09
618,3,170,0,0,0,2022-05-24
619,8,173,1,0,0,2022-05-10
620,2,541,0,0,0,2022-05-04
621,2,89,0,0,0,2022-05-12
622,6,213,0,0,0,2022-05-30
623,3,194,0,0,0,2022-05-22
624,2,158,0,0,0,2022-05-03
625,2,472,1,0,0,2022-05-15
626,2,135,0,0,0,2022-05-10
627,6,304,0,0,0,2022-05-17
628,3,275,0,0,0,2022-05-17
629,2,155,0,0,0,2022-05-16
630,4,125,0,0,0,2022-05-09
631,6,96,1,0,0,2022-05-02
632,5,175,1,0,0,2022-05-10
633,4,134,0,0,0,2022-05-21
634,5,22,0,0,0,2022-05-05
635,3,807,1,0,0,2022-05-27
636,2,235,1,0,0,2022-05-28
637,4,673,0,0,0,2022-05-10
638,2,124,0,0,0,2022-05-16
639,2,57,0,0,0,2022-05-14
640,3,225,0,0,0,2022-05-20
641,5,144,1,0,0,2022-05-08
642,2,177,0,0,0,2022-05-26
643,2,455,1,0,0,2022-05-14
644,4,264,0,0,0,2022-05-07
645,3,295,0,0,0,2022-05-25
646,3,285,1,0,0,2022-05-12
647,5,166,1,0,0,2022-05-13
648,2,456,1,0,0,2022-05-05
649,2,101,1,0,0,2022-05-28
650,4,256,0,0,0,2022-05-29
651,5,497,2,0,0,2022-05-21
652,4,600,0,0,0,2022-05-09
653,3,268,0,0,0,2022-05-21
654,3,899,0,0,0,2022-05-17
655,2,339,1,0,0,2022-05-30
656,3,220,0,0,0,2022-05-29
657,3,700,0,0,0,2022-05-05
658,7,150,0,0,0,2022-05-17
659,4,147,1,0,0,2022-05-30
660,6,236,0,0,0,2022-05-21
661,3,133,1,0,0,2022-05-16
662,2,58,1,0,0,2022-05-14
663,5,234,0,0,0,2022-05-22
664,7,1388,1,0,0,2022-05-13
665,2,130,0,0,0,2022-05-14
666,5,57,0,0,0,2022-05-14
667,5,70,0,0,0,2022-05-09
668,7,31,1,0,0,2022-05-18
669,2,50,0,0,0,2022-05-07
670,2,496,1,0,1,2022-05-08
671,3,94,0,0,0,2022-05-12
672,5,83,0,0,0,2022-05-17
673,4,29,0,0,0,2022-05-24
674,6,16,0,0,0,2022-05-07
675,4,46,0,0,0,2022-05-24
676,2,20,0,0,0,2022-05-01
677,4,152,1,0,0,2022-05-23
678,4,61,1,0,0,2022-05-29
679,4,389,0,0,0,2022-05-11
680,3,1108,0,0,0,2022-05-04
681,7,8,0,0,0,2022-05-10
682,2,310,0,0,0,2022-05-04
683,3,197,0,0,0,2022-05-20
684,8,21,0,0,0,2022-05-04
685,2,117,0,0,0,2022-05-11
686,6,413,0,0,0,2022-05-23
687,2,24,0,0,0,2022-05-08
688,3,254,0,0,0,2022-05-02
689,5,65,0,0,0,2022-05-20
690,5,53,1,0,0,2022-05-13
691,2,164,1,0,0,2022-05-22
692,4,321,0,0,0,2022-05-19
693,7,5,1,0,0,2022-05-08
694,5,82,1,0,0,2022-05-02
695,3,81,0,0,0,2022-05-22
696,2,136,0,0,0,2022-05-07
697,2,133,0,0,0,2022-05-14
698,4,14,0,0,0,2022-05-01
699,4,320,0,0,0,2022-05-02
700,2,77,1,0,0,2022-05-08
701,3,211,1,0,0,2022-05-27
702,1,129,0,0,0,2022-05-01
703,1,26,2,0,0,2022-05-04
704,1,200,0,0,0,2022-05-13
705,1,38,1,0,0,2022-05-15
706,3,95,0,0,0,2022-05-30
707,3,49,1,0,0,2022-05-02
708,1,210,1,0,0,2022-05-10
709,3,863,0,0,1,2022-05-01
710,7,15,0,0,0,2022-05-31
711,1,259,1,0,0,2022-05-15
712,1,130,1,0,0,2022-05-06
713,1,211,0,0,0,2022-05-04
714,3,87,1,0,0,2022-05-26
715,2,774,1,0,1,2022-05-07
716,6,15,0,0,0,2022-05-31
717,1,348,0,0,0,2022-05-31
718,1,129,0,0,0,2022-05-12
719,9,44,0,0,0,2022-05-11
720,2,231,0,0,0,2022-05-19
721,1,155,0,0,0,2022-05-26
722,1,74,1,0,0,2022-05-02
723,6,135,1,0,0,2022-05-28
724,1,217,1,0,0,2022-05-11
725,1,22,1,0,0,2022-05-02
726,1,32,1,0,0,2022-05-22
727,1,435,0,0,0,2022-05-28
728,1,25,0,0,0,2022-05-09
729,1,370,1,0,0,2022-05-22
730,1,201,0,0,0,2022-05-21
